"Time","Humidity Run 1","Light Run 1","Pressure Run 1","Pressure Run 1","Sound Run 1","Temperature Run 1",Comment
"s","%RH","lx","kPa","kPa","dBA","°C"
"124.8","46.7","158","99.2","100.00","76.4","23.4"
"125.76","46.7","338","99.2","99.99","40.6","23.4"
"126.72","46.7","343","99.2","99.99","74.0","23.4"
"127.68","46.7","191","99.2","100.04","55.1","23.4"
"128.64","46.7","162","99.2","99.97","48.5","23.4"
"129.6","46.7","264","99.2","100.00","40.0","23.4"
"130.56","46.7","317","99.2","99.99","40.7","23.4"
"131.52","46.6","245","99.2","100.01","68.5","23.4"
"132.48","46.6","283","99.2","99.99","72.2","23.4"
"133.44","46.6","334","99.2","99.99","72.9","23.4"
"134.4","46.6","372","99.2","99.99","68.6","23.3"
"135.36","46.6","345","99.2","100.00","40.0","23.3"
"136.32","46.6","256","99.2","99.99","71.4","23.3"
"137.28","46.6","153","99.2","100.01","76.5","23.3"
"138.24","46.6","136","99.2","99.98","53.2","23.3"
"139.2","46.6","131","99.2","100.02","59.1","23.3"
"140.16","46.6","117","99.5","99.99","40.0","23.3"
"141.12","46.6","175","99.5","100.01","66.9","23.3"
"142.08","46.6","284","99.5","99.99","40.0","23.3"
"143.04","46.6","279","99.5","99.98","40.0","23.3"
"144","46.6","201","99.5","100.02","64.8","23.3"
"144.96","46.5","213","99.7","99.99","46.7","23.3"
"145.92","46.5","184","99.5","99.99","40.0","23.3"
"146.88","46.5","183","99.7","99.97","49.8","23.3"
"147.84","46.5","202","99.7","99.99","40.0","23.3"
"148.8","46.5","199","99.7","99.98","67.1","23.3"
"149.76","46.5","216","99.7","100.00","40.0","23.3"
"150.72","46.5","215","99.7","99.97","40.0","23.3"
"151.68","46.5","203","99.7","99.98","40.0","23.3"
"152.64","46.5","207","99.7","100.00","40.0","23.3"
"153.6","46.5","203","99.9","99.98","54.0","23.3"
"154.56","46.5","271","99.9","100.00","40.0","23.3"
"155.52","46.5","223","99.9","100.03","40.0","23.3"
"156.48","46.5","281","99.9","99.97","72.6","23.3"
"157.44","46.4","363","99.9","100.00","73.0","23.3"
"158.4","46.4","232","99.9","99.97","69.5","23.3"
"159.36","46.4","224","99.9","99.99","70.1","23.3"
"160.32","46.4","224","99.9","100.01","75.6","23.3"
"161.28","46.4","228","99.9","100.01","69.4","23.3"
"162.24","46.4","311","99.9","99.98","61.7","23.5"
"163.2","46.4","265","99.9","100.00","40.0","24.0"
"164.16","46.4","258","99.9","100.04","40.0","24.5"
"165.12","46.4","257","99.9","99.99","73.7","25.0"
"166.08","46.4","338","99.9","99.96","76.1","25.5"
"167.04","46.4","332","99.9","99.99","60.0","25.9"
"168","46.4","314","99.9","100.00","66.2","26.3"
"168.96","46.3","381","99.9","99.99","73.1","26.6"
"169.92","46.3","393","99.9","100.00","73.4","26.9"
"170.88","46.3","349","99.9","99.99","40.0","27.2"
"171.84","46.3","296","99.9","100.03","66.9","27.5"
"172.8","46.3","255","99.9","100.00","42.7","27.8"
"173.76","46.3","254","99.9","100.00","61.8","28.0"
"174.72","46.3","376","100.1","99.97","67.0","28.3"
"175.68","46.3","390","100.1","100.02","46.1","28.5"
"176.64","46.3","404","100.1","100.02","40.0","28.7"
"177.6","46.3","294","100.1","100.01","40.0","28.9"
"178.56","46.3","373","100.1","99.99","40.0","29.1"
"179.52","46.3","397","100.1","99.98","59.9","29.2"
"180.48","46.3","400","100.1","100.01","77.9","29.4"
"181.44","46.3","400","100.1","99.99","58.8","29.5"
"182.4","46.3","400","100.1","99.99","47.3","29.6"
"183.36","46.3","399","100.1","100.02","61.9","29.7"
"184.32","46.2","399","100.1","99.99","69.2","29.8"
"185.28","46.3","398","100.1","100.02","66.2","29.9"
"186.24","46.2","396","100.1","99.94","71.0","30.0"
"187.2","46.2","359","100.1","99.98","62.5","30.1"
"188.16","46.2","302","100.1","100.04","67.7","30.2"
"189.12","46.2","393","100.1","100.00","67.8","30.3"
"190.08","46.2","400","100.1","99.97","40.0","30.3"
"191.04","46.2","383","100.1","100.00","69.9","30.4"
"192","46.2","392","100.1","100.00","63.3","30.4"
"192.96","46.2","395","100.1","100.01","67.0","30.5"
"193.92","46.2","397","100.1","100.01","69.1","30.6"
"194.88","46.2","395","100.1","99.99","42.4","30.6"
"195.84","46.2","289","100.1","99.99","40.0","30.6"
"196.8","46.2","380","100.1","100.00","79.4","30.7"
"197.76","46.2","393","100.3","99.99","62.1","30.7"
"198.72","46.1","376","100.1","99.99","73.7","30.7"
"199.68","46.1","298","100.3","100.01","63.6","30.8"
"200.64","46.1","412","100.3","99.97","58.3","30.8"
"201.6","46.1","350","100.3","99.99","44.4","30.8"
"202.56","46.1","388","100.3","100.03","70.2","30.9"
"203.52","46.1","395","100.3","100.02","69.4","30.9"
"204.48","46.1","258","100.3","100.01","74.7","30.9"
"205.44","46.1","204","100.3","99.97","40.0","30.9"
"206.4","46.1","199","100.3","99.98","76.0","30.9"
"207.36","46.1","209","100.3","99.99","77.1","31.0"
"208.32","46.1","205","100.3","100.02","40.0","31.0"
"209.28","46.1","213","100.3","100.00","57.5","31.0"
"210.24","46.1","215","100.3","99.99","40.0","31.0"
"211.2","46.1","205","100.3","100.01","52.9","31.0"
"212.16","46.1","200","100.3","99.97","58.4","31.0"
"213.12","46.0","200","100.3","100.01","57.8","31.1"
"214.08","46.0","205","100.3","99.99","40.0","31.1"
"215.04","46.0","240","100.3","100.00","62.6","31.1"
"216","46.0","208","100.3","99.99","40.0","31.1"
"216.96","46.0","220","100.3","100.00","71.0","31.1"
"217.92","46.0","288","100.3","99.99","72.3","31.1"
"218.88","46.0","266","100.3","99.97","62.8","31.1"
"219.84","46.0","258","100.3","99.99","70.1","31.1"
"220.8","46.0","256","100.5","99.98","70.4","31.1"
"221.76","46.0","321","100.5","100.00","71.7","31.1"
"222.72","46.0","387","100.5","100.01","40.0","31.1"
"223.68","46.0","297","100.5","100.02","64.0","31.2"
"224.64","46.0","282","100.5","99.99","41.4","31.2"
"225.6","45.9","411","100.5","100.02","40.0","31.2"
"226.56","45.9","329","100.5","100.01","40.0","31.2"
"227.52","46.0","237","100.5","100.02","40.0","31.2"
"228.48","45.9","250","100.5","100.01","40.0","31.2"
"229.44","45.9","129","100.5","100.03","83.0","31.2"
"230.4","45.9","80","100.5","100.01","88.5","31.2"
"231.36","46.0","71","100.5","99.99","60.8","31.2"
"232.32","46.0","218","100.5","99.98","40.0","31.2"
"233.28","46.1","282","100.5","100.00","40.0","31.3"
"234.24","46.2","386","100.5","99.98","60.2","31.3"
"235.2","46.2","387","100.5","100.01","68.2","31.3"
"236.16","46.3","335","100.7","100.00","40.0","31.3"
"237.12","46.3","311","100.7","100.00","80.1","31.3"
"238.08","46.3","168","100.5","99.99","68.1","31.3"
"239.04","46.3","30","100.7","100.00","76.5","31.3"
"240","46.4","22","100.7","100.00","43.9","31.3"
"240.96","46.4","21","100.7","100.01","40.7","31.3"
"241.92","46.4","35","100.7","99.99","53.3","31.3"
"242.88","46.4","28","100.7","100.00","40.0","31.3"
"243.84","46.4","16","100.7","100.01","40.0","31.3"
"244.8","46.4","13","100.7","99.98","40.0","31.3"
"245.76","46.5","12","100.7","100.03","59.9","31.3"
"246.72","46.5","11","100.7","99.99","45.2","31.3"
"247.68","46.5","12","100.7","99.98","51.3","31.3"
"248.64","46.5","10","100.7","100.00","81.3","31.3"
"249.6","46.6","6","100.7","100.00","77.1","31.3"
"250.56","46.6","61","100.7","100.01","66.1","31.3"
"251.52","46.6","111","100.7","99.99","41.2","31.3"
"252.48","46.7","116","100.7","100.01","62.8","31.4"
"253.44","46.7","117","100.7","99.99","62.7","31.4"
"254.4","46.8","119","100.7","100.00","69.8","31.4"
"255.36","46.8","131","100.7","99.99","41.8","31.4"
"256.32","46.8","123","100.7","100.02","51.4","31.4"
"257.28","46.8","129","100.7","100.00","64.9","31.4"
"258.24","46.8","132","100.7","100.02","63.3","31.4"
"259.2","46.8","132","100.9","100.00","40.0","31.4"
"260.16","46.8","132","100.7","100.01","40.0","31.4"
"261.12","46.8","124","100.7","99.99","60.9","31.4"
"262.08","46.8","130","100.9","100.00","69.2","31.4"
"263.04","46.8","126","100.9","99.99","64.4","31.4"
"264","46.7","119","100.9","100.02","67.4","31.4"
"264.96","46.7","127","100.9","100.02","40.0","31.4"
"265.92","46.7","132","100.9","99.99","60.8","31.4"
"266.88","46.7","133","100.9","100.03","70.2","31.4"
"267.84","46.7","132","100.9","100.01","40.0","31.4"
"268.8","46.6","132","100.9","100.02","40.0","31.5"
"269.76","46.6","121","100.9","100.02","77.4","31.5"
"270.72","46.6","117","100.9","99.97","56.1","31.5"
"271.68","46.6","117","100.9","99.99","48.6","31.5"
"272.64","46.6","83","100.9","100.01","74.7","31.5"
"273.6","46.6","92","100.9","100.03","45.8","31.5"
"274.56","46.5","133","100.9","100.01","52.3","31.5"
"275.52","46.5","194","100.9","100.00","53.9","31.5"
"276.48","46.5","247","100.9","100.02","54.9","31.5"
"277.44","46.5","256","100.9","100.02","40.0","31.5"
"278.4","46.5","256","100.9","100.00","64.4","31.5"
"279.36","46.5","256","100.9","99.99","79.1","31.5"
"280.32","46.5","257","101.1","100.00","70.7","31.5"
"281.28","46.5","255","100.9","100.01","61.8","31.5"
"282.24","46.5","238","100.9","100.02","40.0","31.5"
"283.2","46.4","240","101.1","100.02","49.4","31.5"
"284.16","46.4","241","101.1","99.97","56.9","31.5"
"285.12","46.4","251","101.1","100.00","40.0","31.5"
"286.08","46.4","224","101.1","99.99","56.3","31.5"
"287.04","46.4","122","101.1","100.03","68.8","31.5"
"288","46.4","159","101.1","100.02","40.0","31.5"
"288.96","46.3","238","101.1","100.03","40.0","31.5"
"289.92","46.3","250","101.1","100.03","63.9","31.5"
"290.88","46.3","256","101.1","100.01","68.4","31.5"
"291.84","46.3","256","101.1","99.98","66.0","31.5"
"292.8","46.3","254","101.1","100.00","64.2","31.5"
"293.76","46.3","235","101.1","100.00","69.8","31.5"
"294.72","46.3","244","101.1","99.98","77.5","31.6"
"295.68","46.3","257","101.1","99.98","40.0","31.6"
"296.64","46.3","258","101.1","100.02","66.9","31.6"
"297.6","46.3","259","101.1","99.99","62.1","31.6"
"298.56","46.3","249","101.1","100.02","66.8","31.6"
"299.52","46.2","144","101.1","100.00","61.4","31.6"
"300.48","46.2","121","101.1","100.01","40.0","31.6"
"301.44","46.2","113","101.1","99.99","63.9","31.6"
"302.4","46.2","120","101.1","99.98","75.8","31.6"
"303.36","46.2","118","101.1","100.01","40.7","31.6"
"304.32","46.2","124","101.1","99.99","40.0","31.6"
"305.28","46.2","139","101.3","100.04","69.8","31.6"
"306.24","46.2","143","101.1","99.99","64.0","31.6"
"307.2","46.2","137","101.3","99.99","77.1","31.6"
"308.16","46.1","137","101.3","100.03","70.6","31.6"
"309.12","46.1","133","101.3","100.02","65.7","31.6"
"310.08","46.1","124","101.3","100.02","61.0","31.6"
"311.04","46.1","123","101.3","99.99","67.7","31.6"
"312","46.1","117","101.3","100.02","72.5","31.6"
"312.96","46.1","116","101.3","99.99","40.0","31.6"
"313.92","46.1","115","101.3","100.01","74.8","31.6"
"314.88","46.1","126","101.3","100.02","40.0","31.6"
"315.84","46.1","125","101.3","100.02","54.4","31.6"
"316.8","46.1","147","101.3","100.01","68.6","31.6"
"317.76","46.1","233","101.3","99.98","70.3","31.6"
"318.72","46.0","252","101.3","100.00","72.3","31.6"
"319.68","46.0","254","101.3","99.99","40.0","31.6"
"320.64","46.0","255","101.3","99.97","76.4","31.6"
"321.6","46.0","255","101.3","100.02","40.0","31.6"
"322.56","46.0","255","101.3","100.00","46.4","31.6"
"323.52","46.0","256","101.3","100.00","62.6","31.6"
"324.48","46.0","256","101.3","100.00","54.0","31.6"
"325.44","46.0","257","101.3","100.02","40.0","31.6"
"326.4","46.0","253","101.3","99.97","71.8","31.6"
"327.36","46.0","248","101.5","100.01","75.4","31.6"
"328.32","46.0","251","101.3","99.98","41.8","31.6"
"329.28","46.0","249","101.5","100.00","61.2","31.6"
"330.24","46.0","249","101.5","100.01","71.0","31.6"
"331.2","45.9","250","101.5","99.99","78.3","31.6"
"332.16","45.9","249","101.5","100.01","58.5","31.6"
"333.12","45.9","249","101.5","100.01","46.0","31.6"
"334.08","45.9","248","101.5","100.00","63.7","31.6"
"335.04","45.9","248","101.5","100.00","43.4","31.6"
"336","45.9","248","101.5","99.98","40.0","31.6"
"336.96","45.9","248","101.5","100.03","70.2","31.6"
"337.92","45.9","248","101.5","100.01","73.7","31.6"
"338.88","45.8","246","101.5","100.02","40.0","31.6"
"339.84","45.8","247","101.5","100.01","59.8","31.6"
"340.8","45.8","248","101.5","100.01","62.4","31.6"
"341.76","45.8","246","101.5","100.03","72.2","31.6"
"342.72","45.8","245","101.5","99.99","40.0","31.6"
"343.68","45.8","246","101.5","99.99","77.2","31.6"
"344.64","45.8","248","101.5","100.00","80.7","31.6"
"345.6","45.8","248","101.5","100.01","54.7","31.6"
"346.56","45.8","247","101.5","100.01","65.2","31.6"
"347.52","45.8","246","101.5","100.00","40.0","31.6"
"348.48","45.8","247","101.5","100.02","65.0","31.6"
"349.44","45.8","247","101.5","100.02","69.1","31.6"
"350.4","45.8","247","101.5","99.99","76.2","31.6"
"351.36","45.8","247","101.5","100.01","71.1","31.6"
"352.32","45.8","247","101.5","100.01","62.4","31.6"
"353.28","45.8","246","101.5","100.02","74.1","31.6"
"354.24","45.7","245","101.5","100.01","51.6","31.6"
"355.2","45.7","247","101.5","100.02","71.0","31.6"
"356.16","45.7","246","101.6","100.01","69.1","31.6"
"357.12","45.7","248","101.6","99.98","40.0","31.6"
"358.08","45.7","250","101.6","99.99","40.0","31.7"
"359.04","45.7","249","101.6","100.02","61.8","31.7"
"360","45.7","252","101.6","100.01","72.5","31.7"
"360.96","45.7","254","101.6","100.02","40.0","31.7"
"361.92","45.7","254","101.6","99.98","68.7","31.7"
"362.88","45.7","254","101.6","100.01","73.1","31.7"
"363.84","45.7","251","101.6","100.01","73.7","31.7"
"364.8","45.7","189","101.6","100.00","64.5","31.7"
"365.76","45.7","142","101.6","100.01","40.0","31.7"
"366.72","45.7","163","101.6","99.99","70.2","31.7"
"367.68","45.7","155","101.6","99.99","63.3","31.7"
"368.64","45.6","153","101.6","100.01","40.0","31.7"
"369.6","45.6","153","101.6","100.01","59.7","31.7"
"370.56","45.6","152","101.6","99.99","40.0","31.7"
"371.52","45.6","151","101.6","100.00","60.5","31.7"
"372.48","45.6","152","101.6","99.97","68.5","31.7"
"373.44","45.6","150","101.6","100.00","58.4","31.7"
"374.4","45.6","146","101.6","100.01","40.0","31.7"
"375.36","45.6","130","101.6","100.01","40.0","31.7"
"376.32","45.6","173","101.6","100.02","53.9","31.7"
"377.28","45.6","200","101.6","100.00","43.3","31.7"
"378.24","45.6","218","101.6","100.01","52.9","31.7"
"379.2","45.6","221","101.6","100.02","73.2","31.7"
"380.16","45.6","217","101.6","100.03","66.6","31.7"
"381.12","45.6","212","101.6","100.02","68.5","31.7"
"382.08","45.6","215","101.6","100.00","64.8","31.7"
"383.04","45.6","218","101.6","100.01","54.8","31.7"
"384","45.5","232","101.6","99.98","40.0","31.7"
"384.96","45.5","224","101.6","100.01","58.8","31.7"
"385.92","45.5","225","101.8","100.01","63.3","31.7"
"386.88","45.5","251","101.8","100.02","55.3","31.7"
"387.84","45.5","230","101.8","99.97","66.7","31.7"
"388.8","45.5","165","101.8","100.02","72.1","31.7"
"389.76","45.5","157","101.8","100.02","57.4","31.7"
"390.72","45.5","194","101.8","100.01","69.3","31.7"
"391.68","45.5","189","101.8","100.02","63.0","31.7"
"392.64","45.5","137","101.8","100.04","67.5","31.7"
"393.6","45.5","144","101.8","99.98","70.2","31.7"
"394.56","45.5","237","101.8","100.01","42.6","31.8"
"395.52","45.5","252","101.8","100.00","40.0","31.8"
"396.48","45.5","253","101.8","100.00","58.3","31.8"
"397.44","45.5","258","101.8","100.00","56.4","31.8"
"398.4","45.5","261","101.8","100.02","54.8","31.8"
"399.36","45.4","234","101.8","100.03","44.7","31.9"
"400.32","45.5","132","101.8","100.05","70.4","31.9"
"401.28","45.4","119","101.8","100.00","75.0","32.0"
"402.24","45.4","148","101.8","100.05","68.0","32.0"
"403.2","45.4","243","101.8","100.02","51.9","32.1"
"404.16","45.4","258","101.8","100.04","63.3","32.1"
"405.12","45.4","259","101.8","99.96","54.3","32.2"
"406.08","45.4","251","101.8","100.01","63.9","32.2"
"407.04","45.4","247","101.8","100.02","78.1","32.3"
"408","45.4","247","101.8","100.01","59.4","32.3"
"408.96","45.4","229","101.8","100.02","50.1","32.4"
"409.92","45.5","69","101.8","99.99","90.3","32.4"
"410.88","45.8","169","101.8","100.01","40.0","32.5"
"411.84","46.5","227","101.8","100.01","40.0","32.5"
"412.8","46.9","235","101.8","100.02","76.3","32.6"
"413.76","47.2","239","101.8","100.02","40.0","32.6"
"414.72","47.4","246","101.8","100.03","65.0","32.6"
"415.68","47.6","250","101.8","100.00","71.3","32.7"
"416.64","47.8","251","101.8","99.98","68.3","32.7"
"417.6","47.9","250","101.8","100.01","47.2","32.7"
"418.56","48.0","249","101.8","99.97","59.5","32.7"
"419.52","48.1","245","101.8","100.01","71.2","32.8"
"420.48","48.2","212","101.8","99.99","60.6","32.8"
"421.44","48.3","71","101.8","100.04","84.8","32.8"
"422.4","48.5","42","101.8","100.01","70.1","32.8"
"423.36","49.4","97","101.8","100.02","40.0","32.9"
"424.32","49.4","215","102.0","100.03","40.0","32.9"
"425.28","49.4","149","102.0","100.01","44.0","32.9"
"426.24","49.4","141","102.0","100.01","40.0","32.9"
"427.2","49.4","140","102.0","99.98","67.8","32.9"
"428.16","49.4","167","102.0","100.04","69.4","32.9"
"429.12","49.4","191","102.0","100.01","49.4","32.9"
"430.08","49.4","153","102.0","100.04","40.0","32.9"
"431.04","49.5","134","102.0","100.01","40.0","33.0"
"432","49.5","135","102.0","99.99","68.0","33.0"
"432.96","49.5","139","102.0","100.00","65.0","33.0"
"433.92","49.5","136","102.0","100.00","45.3","33.0"
"434.88","49.5","136","102.0","99.99","78.8","33.0"
"435.84","49.4","135","102.0","100.00","40.0","33.0"
"436.8","49.4","136","99.0","99.99","40.0","33.0"
"437.76","49.4","137","99.0","99.98","40.0","33.0"
"438.72","49.4","136","99.0","100.03","40.0","33.0"
"439.68","49.4","139","99.0","100.02","61.4","33.1"
"440.64","49.5","139","99.0","99.99","73.1","33.1"
"441.6","49.5","134","99.0","100.05","77.1","33.1"
"442.56","49.5","123","99.0","99.99","40.0","33.1"
"443.52","49.5","119","99.0","99.98","46.3","33.1"
"444.48","49.5","129","99.0","100.00","40.0","33.1"
"445.44","49.5","155","99.0","100.01","60.2","33.1"
"446.4","49.4","210","99.0","99.99","58.2","33.1"
"447.36","49.4","250","99.0","99.99","62.3","33.1"
"448.32","49.4","161","99.0","100.03","40.0","33.1"
"449.28","49.4","167","99.0","100.00","69.7","33.1"
"450.24","49.4","239","98.8","100.03","77.4","33.1"
"451.2","49.4","250","98.8","99.99","73.7","33.1"
"452.16","49.4","250","98.8","100.01","61.7","33.1"
"453.12","49.4","254","99.0","100.02","66.8","33.1"
"454.08","49.3","254","99.0","99.99","40.0","33.1"
"455.04","49.3","239","98.8","100.02","65.5","33.1"
"456","49.3","198","98.8","100.00","71.3","33.1"
"456.96","49.2","141","98.8","99.97","40.0","33.1"
"457.92","49.2","125","99.0","100.01","69.6","33.1"
"458.88","49.1","222","98.8","99.97","68.0","33.1"
"459.84","49.0","236","98.8","100.01","54.4","33.1"
"460.8","49.0","248","98.8","100.01","56.7","33.1"
"461.76","49.0","242","99.0","100.02","40.0","33.1"
"462.72","48.9","245","99.0","99.98","70.4","33.1"
"463.68","48.9","261","98.8","99.98","71.4","33.1"
"464.64","48.9","223","98.8","99.98","40.0","33.1"
"465.6","48.8","243","99.0","100.01","71.0","33.1"
"466.56","48.8","263","98.8","100.04","40.0","33.2"
"467.52","48.7","265","99.0","100.01","40.0","33.1"
"468.48","48.7","265","98.8","100.02","54.2","33.1"
"469.44","48.7","161","98.8","100.01","68.8","33.1"
"470.4","48.7","123","99.0","100.03","40.0","33.1"
"471.36","48.6","121","99.0","100.02","68.4","33.1"
"472.32","48.6","138","98.8","99.99","62.9","33.1"
"473.28","48.6","239","99.0","100.00","70.0","33.1"
"474.24","48.5","177","98.8","99.99","77.0","33.1"
"475.2","48.5","246","99.0","99.98","74.8","32.9"
"476.16","48.5","260","99.0","100.00","78.7","32.8"
"477.12","48.4","264","99.0","99.99","72.7","32.6"
"478.08","48.4","265","98.8","100.02","40.0","32.4"
"479.04","48.4","263","99.0","100.01","77.5","32.2"
